0 iter 0: count 0, IS EVEN, proceeding
1 iter 0: count 1, IS ODD, proceeding
2 iter 0: count 2, IS EVEN, proceeding
1 iter 1: count 3, IS ODD, proceeding
0 iter 1: count 4, IS EVEN, proceeding
3 iter 0: count 5, IS ODD, proceeding
2 iter 1: count 6, IS EVEN, proceeding
3 iter 1: count 7, IS ODD, proceeding
0 iter 2: count 8, IS EVEN, proceeding
1 iter 2: count 9, IS ODD, proceeding
2 iter 2: count 10, IS EVEN, proceeding
3 iter 2: count 11, IS ODD, proceeding
0 iter 3: count 12, IS EVEN, proceeding
1 iter 3: count 13, IS ODD, proceeding
2 iter 3: count 14, IS EVEN, proceeding
1 iter 4: count 15, IS ODD, proceeding
0 iter 4: count 16, IS EVEN, proceeding
3 iter 3: count 17, IS ODD, proceeding
2 iter 4: count 18, IS EVEN, proceeding
1 iter 5: count 19, IS ODD, proceeding
0 iter 5: count 20, IS EVEN, proceeding
3 iter 4: count 21, IS ODD, proceeding
2 iter 5: count 22, IS EVEN, proceeding
3 iter 5: count 23, IS ODD, proceeding
0 iter 6: count 24, IS EVEN, proceeding
1 iter 6: count 25, IS ODD, proceeding
0 iter 7: count 26, IS EVEN, proceeding
3 iter 6: count 27, IS ODD, proceeding
2 iter 6: count 28, IS EVEN, proceeding
3 iter 7: count 29, IS ODD, proceeding
0 iter 8: count 30, IS EVEN, proceeding
1 iter 7: count 31, IS ODD, proceeding
0 iter 9: count 32, IS EVEN, proceeding
3 iter 8: count 33, IS ODD, proceeding
2 iter 7: count 34, IS EVEN, proceeding
3 iter 9: count 35, IS ODD, proceeding
2 iter 8: count 36, IS EVEN, proceeding
3 iter 10: count 37, IS ODD, proceeding
0 iter 10: count 38, IS EVEN, proceeding
3 iter 11: count 39, IS ODD, proceeding
2 iter 9: count 40, IS EVEN, proceeding
1 iter 8: count 41, IS ODD, proceeding
0 iter 11: count 42, IS EVEN, proceeding
3 iter 12: count 43, IS ODD, proceeding
2 iter 10: count 44, IS EVEN, proceeding
1 iter 9: count 45, IS ODD, proceeding
2 iter 11: count 46, IS EVEN, proceeding
3 iter 13: count 47, IS ODD, proceeding
2 iter 12: count 48, IS EVEN, proceeding
1 iter 10: count 49, IS ODD, proceeding
2 iter 13: count 50, IS EVEN, proceeding
3 iter 14: count 51, IS ODD, proceeding
2 iter 14: count 52, IS EVEN, proceeding
3 iter 15: count 53, IS ODD, proceeding
2 iter 15: count 54, IS EVEN, proceeding
3 iter 16: count 55, IS ODD, proceeding
0 iter 12: count 56, IS EVEN, proceeding
3 iter 17: count 57, IS ODD, proceeding
0 iter 13: count 58, IS EVEN, proceeding
3 iter 18: count 59, IS ODD, proceeding
0 iter 14: count 60, IS EVEN, proceeding
1 iter 11: count 61, IS ODD, proceeding
0 iter 15: count 62, IS EVEN, proceeding
3 iter 19: count 63, IS ODD, proceeding
2 iter 16: count 64, IS EVEN, proceeding
3 iter 20: count 65, IS ODD, proceeding
2 iter 17: count 66, IS EVEN, proceeding
1 iter 12: count 67, IS ODD, proceeding
0 iter 16: count 68, IS EVEN, proceeding
3 iter 21: count 69, IS ODD, proceeding
0 iter 17: count 70, IS EVEN, proceeding
1 iter 13: count 71, IS ODD, proceeding
2 iter 18: count 72, IS EVEN, proceeding
3 iter 22: count 73, IS ODD, proceeding
2 iter 19: count 74, IS EVEN, proceeding
3 iter 23: count 75, IS ODD, proceeding
2 iter 20: count 76, IS EVEN, proceeding
3 iter 24: count 77, IS ODD, proceeding
2 iter 21: count 78, IS EVEN, proceeding
1 iter 14: count 79, IS ODD, proceeding
0 iter 18: count 80, IS EVEN, proceeding
3 iter 25: count 81, IS ODD, proceeding
0 iter 19: count 82, IS EVEN, proceeding
1 iter 15: count 83, IS ODD, proceeding
0 iter 20: count 84, IS EVEN, proceeding
1 iter 16: count 85, IS ODD, proceeding
2 iter 22: count 86, IS EVEN, proceeding
1 iter 17: count 87, IS ODD, proceeding
0 iter 21: count 88, IS EVEN, proceeding
3 iter 26: count 89, IS ODD, proceeding
2 iter 23: count 90, IS EVEN, proceeding
1 iter 18: count 91, IS ODD, proceeding
0 iter 22: count 92, IS EVEN, proceeding
3 iter 27: count 93, IS ODD, proceeding
2 iter 24: count 94, IS EVEN, proceeding
1 iter 19: count 95, IS ODD, proceeding
2 iter 25: count 96, IS EVEN, proceeding
1 iter 20: count 97, IS ODD, proceeding
0 iter 23: count 98, IS EVEN, proceeding
1 iter 21: count 99, IS ODD, proceeding
2 iter 26: count 100, IS EVEN, proceeding
3 iter 28: count 101, IS ODD, proceeding
2 iter 27: count 102, IS EVEN, proceeding
1 iter 22: count 103, IS ODD, proceeding
0 iter 24: count 104, IS EVEN, proceeding
1 iter 23: count 105, IS ODD, proceeding
2 iter 28: count 106, IS EVEN, proceeding
3 iter 29: count 107, IS ODD, proceeding
2 iter 29: count 108, IS EVEN, proceeding
3 iter 30: count 109, IS ODD, proceeding
