caseyspruill	RT @benbendc: Summer Social #Webshop2011 http://t.co/uVjGuKC on the Computing Community Consortium Blog from Computing Research Association
marc_smith	RT @benbendc: Summer Social #Webshop2011 http://t.co/uVjGuKC on the Computing Community Consortium Blog from Computing Research Association
lorenterveen	RT @benbendc: Summer Social #Webshop2011 http://t.co/uVjGuKC on the Computing Community Consortium Blog from Computing Research Association
danarotman	RT @benbendc: Summer Social #Webshop2011 http://t.co/uVjGuKC on the Computing Community Consortium Blog from Computing Research Association
JessKropczynski	"RT @jeskak: I like the idea of being referred to as a "future leader of social media research" http://t.co/V9weuQn #webshop2011 was a gr ..."
ThirysTheory	RT @benbendc: Summer Social #Webshop2011 http://t.co/uVjGuKC on the Computing Community Consortium Blog from Computing Research Association
dfreelon	RT @benbendc: Summer Social #Webshop2011 http://t.co/uVjGuKC on the Computing Community Consortium Blog from Computing Research Association
benbendc	Summer Social #Webshop2011 http://t.co/uVjGuKC on the Computing Community Consortium Blog from Computing Research Association
pstamara	RT @marc_smith: Videos & slides from #Webshop2011 speakers http://t.co/GpH5MmB Photos http://t.co/cHp5am7 #SMRF #UMD #HCIL #socialmedia
CaptSolo	RT @marc_smith: Videos & slides from our great #Webshop2011 speakers http://t.co/Rsrl8Yt Photos http://t.co/lo66lnD #SMRF #UMD #HCIL #so ...
CaptSolo	"RT @maizeandblue: Great recap of #webshop2011, I learned a lot and met a lot of great people http://t.co/dYKZWd3"
maizeandblue	"Great recap of #webshop2011, I learned a lot and met a lot of great people http://t.co/dYKZWd3"
jeskak	"Huge thanks to @benbendc, @jenpre, @marc_smith, @smilex3md, @pjrey, the speakers, new friends, and even new neighbors at #webshop2011 #iUMD"
jeskak	"I like the idea of being referred to as a "future leader of social media research" http://t.co/V9weuQn #webshop2011 was a great opp"
yardi	Thought I won with my fake @clifflampe nametag but he was giving me horns. http://t.co/HU97YMe #webshop2011 /cc @redlog
deanabea	RT @wyoumans: During the break @deanabea updated me on the remix hit: Nobody Canna Cross it. http://t.co/jHQpnVv Now a dance video & cartoon #webshop2011
ChrisDiehl	RT @marc_smith: Summary of Summer Social Webshop2011 http://t.co/G1BneSi on the Computing Community Consortium Blog from Computing Resea ...
sociographie	RT @marc_smith: Summary of Summer Social Webshop2011 http://t.co/G1BneSi on the Computing Community Consortium Blog from Computing Resea ...
bkeegan	RT @marc_smith: Summary of Summer Social Webshop2011 http://t.co/G1BneSi on the Computing Community Consortium Blog from Computing Resea ...
marc_smith	Summary of Summer Social Webshop2011 http://t.co/G1BneSi on the Computing Community Consortium Blog from Computing Research Association
Webshop2011	Yale grad stud paper on social media in Egypt's protests suggests INET & celphn sometimes hinder collective action. http://t.co/U9wOSMw
TwtTimesTop	HCIL - Summer Social Webshop: http://t.co/2k49Xr7 most discussed on @ValdisKrebs/network-analysis (http://t.co/WqaOZPm)
marc_smith	"Heading home after a week of Webshop2011 - bye Maryland, DC, Earthquake, and Irene! See you Webshop2012 next year! http://t.co/opOhd3W"
frprinsen	""@marc_smith: Webshop2011 NodeXL SNA Map http://t.co/mSVEPlU Top" [should be done at more conferences]"
katypearce	RT @marc_smith: Webshop2011 NodeXL SNA Map http://t.co/GWJyFgw Top @jenpre @barrywellman @benbendc @eszter @katypearce @yardi @webshop20 ...
bkeegan	RT @marc_smith: Webshop2011 NodeXL SNA Map http://t.co/GWJyFgw Top @jenpre @barrywellman @benbendc @eszter @katypearce @yardi @webshop20 ...
fonetworks	RT @marc_smith: Webshop2011 NodeXL SNA Map http://t.co/rFfKjE2
marc_smith	Webshop2011 NodeXL SNA Map http://t.co/GWJyFgw Top @jenpre @barrywellman @benbendc @eszter @katypearce @yardi @webshop2011 @marc_smith
behzodsirjani	"@edenlitt On a more serious note, #Webshop2011 looked like a blast."
OnlineSNA	RT @marc_smith: Videos & slides from our great #Webshop2011 speakers http://t.co/Rsrl8Yt Photos http://t.co/lo66lnD #SMRF #UMD #HCIL #so ...
danarotman	"RT @Webshop2011: If you liked the earthquake, stick around for the hurricane! #webshop2011"
jccoleman	"RT @jvitak: #webshop2011 was fantastic! Huge thanks to @benbendc, @jenpre, @marc_smith, @smilex3md, @pjrey and everyone else involved."
maizeandblue	RT @marc_smith: Videos & slides from our great #Webshop2011 speakers http://t.co/Rsrl8Yt Photos http://t.co/lo66lnD #SMRF #UMD #HCIL #so ...
barrywellman	RT @marc_smith: Videos & slides from our great #Webshop2011 speakers http://t.co/Rsrl8Yt Photos http://t.co/lo66lnD #SMRF #UMD #HCIL #so ...
marc_smith	Videos & slides from our great #Webshop2011 speakers http://t.co/Rsrl8Yt Photos http://t.co/lo66lnD #SMRF #UMD #HCIL #socialmedia #NodeXL
ieleta	For a taste of #Webshop2011 session by John Kelly (Morningside Analytics) http://t.co/KGWrm45 and http://t.co/kDika9u
techsoc	"Sorry to have missed it! ASA+1st wk of classes. RT @jvitak: Huge thanks to @benbendc, @jenpre, @marc_smith, @smilex3md, @pjrey #webshop2011"
jvitak	"#webshop2011 was fantastic! Huge thanks to @benbendc, @jenpre, @marc_smith, @smilex3md, @pjrey and everyone else involved."
ieleta	#Webshop2011 hangover: still dreaming with floating visualizations of international blogosphere. Sorry most of you missed them.
ieleta	"RT @redlog: "We may be studying American behaviors, not human behaviors." --John Kelly, Morningside Analytics, on internet research. #webshop2011"
ieleta	#Webshop2011 hangover: still dreaming with floating visualizations of international blogosphere. Sorry most of you missed it.
barrywellman	"RT @MO_GY: Back in Toronto. Wonderful experience at #Webshop2011, thanks to #grand_nce."
MO_GY	"Back in Toronto. Wonderful experience at #Webshop2011, thanks to #grand_nce."
Webshop2011	"If you liked the earthquake, stick around for the hurricane! #webshop2011"
jccoleman	RT @jhc5007: Fantastic 4 days of presentations and networking at #webshop2011. Special thanks to @benbendc @marc_smith @pjrey @jenpre
jeskak	#webshop2011 withdrawal. thinking deeply about social media research to impact social issues and make real impact for 4 days was a luxury.
prussonyc	"#webshop2011 Fantastic week!!! Many nice people. For those who know what it is, our Sahana system is working well in NYC. Fingers crossed."
rlynn82	RT @jhc5007: Fantastic 4 days of presentations and networking at #webshop2011. Special thanks to @benbendc @marc_smith @pjrey @jenpre
rbole	@tglaisyer @rainakumra It was great fun and hoping social media researchers will partner with us! #webshop2011 #usib
h_a_l_e	+2! MT @jhc5007: Fantastic 4 days of presentations and networking at #webshop2011. tx to @benbendc @marc_smith @pjrey @jenpre @smilex3d
barrywellman	"RT @benbendc: @barrywellman Thanks Mom for your concern! Some left early, #webshop2011 ended 4pm, with sun shining, rain starts noon tomorrow."
OwenLivermore	Fully stoked about new networks & research possibilities thx to all the good folks at #webshop2011 & of course #GRAND_NCE. A la prochaine!
benbendc	"@barrywellman Thanks Mom for your concern! Some left early, #webshop2011 ended 4pm, with sun shining, rain starts noon tomorrow."
daylinbreen	"RT @redlog: "We may be studying American behaviors, not human behaviors." --John Kelly, Morningside Analytics, on internet research. #webshop2011"
barrywellman	"NYT hurricane tracker shows storm approach Washington. #webshop2011 shouldn't you be leaving? http://t.co/RquVhOn Love, Mother"
OwenLivermore	"RT @redlog: "We may be studying American behaviors, not human behaviors." --John Kelly, Morningside Analytics, on internet research. #webshop2011"
takis_metaxas	"Why no one was putting together research meetings like the ones at @Webshop2011 when I was a grad student? Ah, you guys have it easy..."
maizeandblue	RT @eagschwarz: RT @jhc5007: Fantastic 4 days of presentations + networking at #webshop2011. thanks to @benbendc @marc_smith @pjrey @jenpre @smilex3md
PFCdgayo	"RT @redlog: "We may be studying American behaviors, not human behaviors." --John Kelly, Morningside Analytics, on internet research. #webshop2011"
eagschwarz	RT @jhc5007: Fantastic 4 days of presentations + networking at #webshop2011. thanks to @benbendc @marc_smith @pjrey @jenpre @smilex3md
ThirysTheory	RT @pjrey: The Sociology of Play & Gaming Listserv is up. Non-sociologists welcome. Subscribe: http://t.co/9chC6p7 #Webshop2011 #ASA2011
ThirysTheory	"RT @redlog: "We may be studying American behaviors, not human behaviors." --John Kelly, Morningside Analytics, on internet research. #webshop2011"
hangal	+1! MT @jhc5007: Fantastic 4 days of presentations and networking at #webshop2011. tx to @benbendc @marc_smith @pjrey @jenpre @smilex3d
barrywellman	"RT @HZack: DDupe, a tool for dealing with data duplication in networks http://t.co/DmlogeX. Very useful for my co-authorship analysis #webshop2011"
barrywellman	RT @HZack: I wanted to thank the organizers & sponsors of #webshop2011 esp. #GRAND_NCE for enabling my participation. It has been a great experience!
barrywellman	"RT @redlog: "We may be studying American behaviors, not human behaviors." --John Kelly, Morningside Analytics, on internet research. #webshop2011"
bhecht	RT @lorenterveen: RT @danarotman: @wyoumans a list of potential publication venues for the #webshop2011 crowd - http://t.co/aEr038j
jhc5007	@marc_smith knew I forgot someone! Thank you @smilex3md :) #webshop2011
marc_smith	@jhc5007 @benbendc @pjrey @jenpre Lots of credit also due to Alan Neustadtl (@smilex3md) #Webshop2011 #socialmedia #TMSP #SMRF
jhc5007	Fantastic 4 days of presentations and networking at #webshop2011. Special thanks to @benbendc @marc_smith @pjrey @jenpre
redlog	""We may be studying American behaviors, not human behaviors." --John Kelly, Morningside Analytics, on internet research. #webshop2011"
HZack	I wanted to thank the organizers & sponsors of #webshop2011 esp. #GRAND_NCE for enabling my participation. It has been a great experience!
pstamara	RT @pjrey: The Sociology of Play & Gaming Listserv is up. Non-sociologists welcome. Subscribe: http://t.co/9chC6p7 #Webshop2011 #ASA2011
pjrey	The Sociology of Play & Gaming Listserv is up. Non-sociologists welcome. Subscribe: http://t.co/9chC6p7 #Webshop2011 #ASA2011
HZack	RT @deanabea: Great list of publication venues for work on Communities and Information + Social Networks: http://t.co/aS9xuiG #webshop2011
seanpmcb	Slides and videos from the #webshop2011 HCIL - Summer Social Webshop http://t.co/F2rOvrS
Shelia_Cotten	RT @deanabea: Great list of publication venues for work on Communities and Information + Social Networks: http://t.co/aS9xuiG #webshop2011
HZack	"DDupe, a tool for dealing with data duplication in networks http://t.co/DmlogeX. Very useful for my co-authorship analysis #webshop2011"
pjrey	"For a critique of the EKG/MRI metaphor, see Kelly Joyce's Magnetic Appeal: http://t.co/JEoa8Nw #Webshop2011"
schradie	"next up at #webshop2011 is Scott Golder, aka @redlog, talking about how to look at how people spend time by analyzing social media data."
marybethray	Of interest to #webshop2011 http://t.co/He1ujv5
pstamara	Ty to all the sponsors & organizers of #webshop2011 esp. #GRAND_NCE for me. Was an awesome week with smart peeps & grand ideas. #keepintouch
joandimicco	good list of publication venues for the #webshop2011 crowd - http://t.co/me7SkIM (via @lorenterveen)
asbruckman	"@bkeegan I tried to mention your work again, but Nosh already had! :) #webshop2011"
wyoumans	#webshop2011 is not the same without @katypearce
apidictionist	"#webshop2011 Lise Getoor: 90% of machine learning success is feature engineering, 10% algorithm; but 90% of research is algorithms."
barrywellman	RT @jenkayahara: RT @schradie: Slactivism existed before the Internet - it was called armchair Marxism #webshop2011
wyoumans	Anyone else going to DCA airport this afternoon? #webshop2011
wyoumans	Hurricane NodeXL #webshop2011 #GhettoHurricaneNames
bkeegan	"Aww shucks #webshop2011 peeps, I *really* *REALLY* wish I could've been there."
yardi	@jpdimond take a look at #webshop2011 for more discussion on @asbruckman's talk
bkeegan	"Technical term is "democracy" RT @yardi collective stupidity is just as possible as collective intelligence -Tom Malone #webshop2011"
nathanjurgenson	"@pjrey @rlynn82 right, does seem that the right has passed the left with social media. See: http://t.co/rrzr1Ma #webshop2011"
hangal	so i got wikideedia.org (wikidedia not avail) #webshop2011
hangal	"@benbendc suggests a "wikideedia" to document and ackowledge good social deeds #webshop2011"
danarotman	RT @schradie: Slactivism existed before the Internet - it was called armchair Marxism #webshop2011
